Id,MSSubClass,MSZoning,LotArea,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrType,MasVnrArea,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SaleCondition,SaleStatus
1,60,RL,8450,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,BrkFace,196,856,854,0,1710,1,0,2,1,3,1,Attchd,2003,RFn,2,548,Normal,SoldFast
2,20,RL,9600,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,None,0,1262,0,0,1262,0,1,2,0,3,1,Attchd,1976,RFn,2,460,Normal,SoldFast
3,60,RL,11250,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,BrkFace,162,920,866,0,1786,1,0,2,1,3,1,Attchd,2001,RFn,2,608,Normal,SoldFast
4,70,RL,9550,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,None,0,961,756,0,1717,1,0,1,0,3,1,Detchd,1998,Unf,3,642,Abnorml,SoldFast
5,60,RL,14260,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,BrkFace,350,1145,1053,0,2198,1,0,2,1,4,1,Attchd,2000,RFn,3,836,Normal,SoldFast
6,50,RL,14115,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,None,0,796,566,0,1362,1,0,1,1,1,1,Attchd,1993,Unf,2,480,Normal,SoldSlow
7,20,RL,10084,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,Stone,186,1694,0,0,1694,1,0,2,0,3,1,Attchd,2004,RFn,2,636,Normal,SoldFast
8,60,RL,10382,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,Stone,240,1107,983,0,2090,1,0,2,1,3,1,Attchd,1973,RFn,2,484,Normal,SoldFast
9,50,RM,6120,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,None,0,1022,752,0,1774,0,0,2,0,2,2,Detchd,1931,Unf,2,468,Abnorml,SoldFast
10,190,RL,7420,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,None,0,1077,0,0,1077,1,0,1,0,2,2,Attchd,1939,RFn,1,205,Normal,SoldSlow
